id,title,authors,venue,doi,Note
1,Sentiment Analysis for Software Engineering: How Far Can We Go?,"Lin, Bin and Zampetti, Fiorella and Bavota, Gabriele and Di Penta, Massimiliano and Lanza, Michele and Oliveto, Rocco",Proceedings of the 40th International Conference on Software Engineering,10.1145/3180155.3180195,
2,Pattern-based Mining of Opinions in Q&A Websites,"Lin, Bin and Zampetti, Fiorella and Bavota, Gabriele and Di Penta, Massimiliano and Lanza, Michele",Proceedings of the 41st International Conference on Software Engineering,10.1109/ICSE.2019.00066,
